Train Type,Car No.,Car Type,Car Direction,Door No.,Case,Case Offset (mm),Stop Error (mm),Front Ref Position (mm),Base Door Start (mm),Base Door End (mm),Door Width (mm),Actual Door Start (mm),Actual Door End (mm),Door Center (mm),Unit ID,Unit Start (mm),Unit End (mm),Unit Center (mm),Overlap Width (mm),Move Distance (mm),Direction,Effective Opening Width (mm),Min Required Width (mm),Valid?,Command,Confidence,Source / Note
GTX-A,6,T,정방향,1,1,0,-35,-35,10260,10390,130,10225,10355,10290,74,10220,10360,10290,135,135,RIGHT,175.5,175.5,OK,UNIT_74:RIGHT:135.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 6호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,6,T,정방향,2,1,0,-35,-35,10910,11040,130,10875,11005,10940,78,10780,10920,10850,90.5,90.5,LEFT,175.5,175.5,OK,UNIT_78:LEFT:90.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 6호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,6,T,정방향,2,1,0,-35,-35,10910,11040,130,10875,11005,10940,79,10920,11060,10990,85,85,RIGHT,175.5,175.5,OK,UNIT_79:RIGHT:85.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 6호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,6,T,정방향,3,1,0,-35,-35,11560,11690,130,11525,11655,11590,83,11480,11620,11550,95,95,LEFT,175.5,175.5,OK,UNIT_83:LEFT:95.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 6호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,6,T,정방향,3,1,0,-35,-35,11560,11690,130,11525,11655,11590,84,11620,11760,11690,80.5,80.5,RIGHT,175.5,175.5,OK,UNIT_84:RIGHT:80.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 6호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,7,M,정방향,1,1,0,-35,-35,12260,12390,130,12225,12355,12290,88,12180,12320,12250,95,95,LEFT,175.5,175.5,OK,UNIT_88:LEFT:95.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 7호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,7,M,정방향,1,1,0,-35,-35,12260,12390,130,12225,12355,12290,89,12320,12460,12390,80.5,80.5,RIGHT,175.5,175.5,OK,UNIT_89:RIGHT:80.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 7호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,7,M,정방향,2,1,0,-35,-35,12910,13040,130,12875,13005,12940,92,12740,12880,12810,50.5,50.5,LEFT,175.5,175.5,OK,UNIT_92:LEFT:50.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 7호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,7,M,정방향,2,1,0,-35,-35,12910,13040,130,12875,13005,12940,93,12880,13020,12950,125,125,RIGHT,175.5,175.5,OK,UNIT_93:RIGHT:125.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 7호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,7,M,정방향,3,1,0,-35,-35,13560,13690,130,13525,13655,13590,97,13440,13580,13510,77.75,77.75,LEFT,175.5,175.5,OK,UNIT_97:LEFT:77.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 7호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
