Train Type,Car No.,Car Type,Car Direction,Door No.,Case,Case Offset (mm),Stop Error (mm),Front Ref Position (mm),Base Door Start (mm),Base Door End (mm),Door Width (mm),Actual Door Start (mm),Actual Door End (mm),Door Center (mm),Unit ID,Unit Start (mm),Unit End (mm),Unit Center (mm),Overlap Width (mm),Move Distance (mm),Direction,Effective Opening Width (mm),Min Required Width (mm),Valid?,Command,Confidence,Source / Note
KTX-산천,9,T(단부),역방향,1,8,122.5,0,122.5,15759,15839,80,15881.5,15961.5,15921.5,115,15960,16100,16030,29.5,29.5,RIGHT,108,108,OK,UNIT_115:RIGHT:29.5mm,추정,단부객차 위치 추정 / 9호차 역방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,2,T(단부),정방향,1,8,122.5,5,127.5,4270,4350,80,4397.5,4477.5,4437.5,32,4340,4480,4410,82.5,82.5,LEFT,108,108,OK,UNIT_32:LEFT:82.5mm,추정,단부객차 위치 추정 / 2호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,2,T(단부),정방향,1,8,122.5,5,127.5,4270,4350,80,4397.5,4477.5,4437.5,33,4480,4620,4550,25.5,25.5,RIGHT,108,108,OK,UNIT_33:RIGHT:25.5mm,추정,단부객차 위치 추정 / 2호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,3,T(중간),정방향,1,8,122.5,5,127.5,4534.5,4614.5,80,4662,4742,4702,34,4620,4760,4690,98,98,LEFT,108,108,OK,UNIT_34:LEFT:98.0mm,추정,KTX-1과 동일 구조로 추정 / 3호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,3,T(중간),정방향,1,8,122.5,5,127.5,4534.5,4614.5,80,4662,4742,4702,35,4760,4900,4830,10,10,RIGHT,108,108,OK,UNIT_35:RIGHT:10.0mm,추정,KTX-1과 동일 구조로 추정 / 3호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,4,T(중간),정방향,1,8,122.5,5,127.5,6404.5,6484.5,80,6532,6612,6572,47,6440,6580,6510,48,48,LEFT,108,108,OK,UNIT_47:LEFT:48.0mm,추정,KTX-1과 동일 구조로 추정 / 4호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,4,T(중간),정방향,1,8,122.5,5,127.5,6404.5,6484.5,80,6532,6612,6572,48,6580,6720,6650,60,60,RIGHT,108,108,OK,UNIT_48:RIGHT:60.0mm,추정,KTX-1과 동일 구조로 추정 / 4호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,5,T(중간),정방향,1,8,122.5,5,127.5,8274.5,8354.5,80,8402,8482,8442,60,8260,8400,8330,26,26,LEFT,108,108,OK,UNIT_60:LEFT:26.0mm,추정,KTX-1과 동일 구조로 추정 / 5호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,5,T(중간),정방향,1,8,122.5,5,127.5,8274.5,8354.5,80,8402,8482,8442,61,8400,8540,8470,82,82,RIGHT,108,108,OK,UNIT_61:RIGHT:82.0mm,추정,KTX-1과 동일 구조로 추정 / 5호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,6,T(중간),정방향,1,8,122.5,5,127.5,10144.5,10224.5,80,10272,10352,10312,74,10220,10360,10290,88,88,LEFT,108,108,OK,UNIT_74:LEFT:88.0mm,추정,KTX-1과 동일 구조로 추정 / 6호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,6,T(중간),정방향,1,8,122.5,5,127.5,10144.5,10224.5,80,10272,10352,10312,75,10360,10500,10430,20,20,RIGHT,108,108,OK,UNIT_75:RIGHT:20.0mm,추정,KTX-1과 동일 구조로 추정 / 6호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,7,T(중간),정방향,1,8,122.5,5,127.5,12014.5,12094.5,80,12142,12222,12182,87,12040,12180,12110,52,52,LEFT,108,108,OK,UNIT_87:LEFT:52.0mm,추정,KTX-1과 동일 구조로 추정 / 7호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10
KTX-산천,7,T(중간),정방향,1,8,122.5,5,127.5,12014.5,12094.5,80,12142,12222,12182,88,12180,12320,12250,56,56,RIGHT,108,108,OK,UNIT_88:RIGHT:56.0mm,추정,KTX-1과 동일 구조로 추정 / 7호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10
KTX-산천,8,T(중간),정방향,1,8,122.5,5,127.5,13884.5,13964.5,80,14012,14092,14052,100,13860,14000,13930,16,16,LEFT,108,108,OK,UNIT_100:LEFT:16.0mm,추정,KTX-1과 동일 구조로 추정 / 8호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,8,T(중간),정방향,1,8,122.5,5,127.5,13884.5,13964.5,80,14012,14092,14052,101,14000,14140,14070,92,92,RIGHT,108,108,OK,UNIT_101:RIGHT:92.0mm,추정,KTX-1과 동일 구조로 추정 / 8호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,9,T(단부),역방향,1,8,122.5,5,127.5,15759,15839,80,15886.5,15966.5,15926.5,114,15820,15960,15890,73.5,73.5,LEFT,108,108,OK,UNIT_114:LEFT:73.5mm,추정,단부객차 위치 추정 / 9호차 역방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,9,T(단부),역방향,1,8,122.5,5,127.5,15759,15839,80,15886.5,15966.5,15926.5,115,15960,16100,16030,34.5,34.5,RIGHT,108,108,OK,UNIT_115:RIGHT:34.5mm,추정,단부객차 위치 추정 / 9호차 역방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,2,T(단부),정방향,1,8,122.5,10,132.5,4270,4350,80,4402.5,4482.5,4442.5,32,4340,4480,4410,77.5,77.5,LEFT,108,108,OK,UNIT_32:LEFT:77.5mm,추정,단부객차 위치 추정 / 2호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,2,T(단부),정방향,1,8,122.5,10,132.5,4270,4350,80,4402.5,4482.5,4442.5,33,4480,4620,4550,30.5,30.5,RIGHT,108,108,OK,UNIT_33:RIGHT:30.5mm,추정,단부객차 위치 추정 / 2호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,3,T(중간),정방향,1,8,122.5,10,132.5,4534.5,4614.5,80,4667,4747,4707,34,4620,4760,4690,93,93,LEFT,108,108,OK,UNIT_34:LEFT:93.0mm,추정,KTX-1과 동일 구조로 추정 / 3호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,3,T(중간),정방향,1,8,122.5,10,132.5,4534.5,4614.5,80,4667,4747,4707,35,4760,4900,4830,15,15,RIGHT,108,108,OK,UNIT_35:RIGHT:15.0mm,추정,KTX-1과 동일 구조로 추정 / 3호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,4,T(중간),정방향,1,8,122.5,10,132.5,6404.5,6484.5,80,6537,6617,6577,47,6440,6580,6510,57,57,LEFT,108,108,OK,UNIT_47:LEFT:57.0mm,추정,KTX-1과 동일 구조로 추정 / 4호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10
KTX-산천,4,T(중간),정방향,1,8,122.5,10,132.5,6404.5,6484.5,80,6537,6617,6577,48,6580,6720,6650,51,51,RIGHT,108,108,OK,UNIT_48:RIGHT:51.0mm,추정,KTX-1과 동일 구조로 추정 / 4호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10
KTX-산천,5,T(중간),정방향,1,8,122.5,10,132.5,8274.5,8354.5,80,8407,8487,8447,60,8260,8400,8330,21,21,LEFT,108,108,OK,UNIT_60:LEFT:21.0mm,추정,KTX-1과 동일 구조로 추정 / 5호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,5,T(중간),정방향,1,8,122.5,10,132.5,8274.5,8354.5,80,8407,8487,8447,61,8400,8540,8470,87,87,RIGHT,108,108,OK,UNIT_61:RIGHT:87.0mm,추정,KTX-1과 동일 구조로 추정 / 5호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,6,T(중간),정방향,1,8,122.5,10,132.5,10144.5,10224.5,80,10277,10357,10317,74,10220,10360,10290,83,83,LEFT,108,108,OK,UNIT_74:LEFT:83.0mm,추정,KTX-1과 동일 구조로 추정 / 6호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,6,T(중간),정방향,1,8,122.5,10,132.5,10144.5,10224.5,80,10277,10357,10317,75,10360,10500,10430,25,25,RIGHT,108,108,OK,UNIT_75:RIGHT:25.0mm,추정,KTX-1과 동일 구조로 추정 / 6호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,7,T(중간),정방향,1,8,122.5,10,132.5,12014.5,12094.5,80,12147,12227,12187,87,12040,12180,12110,47,47,LEFT,108,108,OK,UNIT_87:LEFT:47.0mm,추정,KTX-1과 동일 구조로 추정 / 7호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10
KTX-산천,7,T(중간),정방향,1,8,122.5,10,132.5,12014.5,12094.5,80,12147,12227,12187,88,12180,12320,12250,61,61,RIGHT,108,108,OK,UNIT_88:RIGHT:61.0mm,추정,KTX-1과 동일 구조로 추정 / 7호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10
KTX-산천,8,T(중간),정방향,1,8,122.5,10,132.5,13884.5,13964.5,80,14017,14097,14057,100,13860,14000,13930,11,11,LEFT,108,108,OK,UNIT_100:LEFT:11.0mm,추정,KTX-1과 동일 구조로 추정 / 8호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,8,T(중간),정방향,1,8,122.5,10,132.5,13884.5,13964.5,80,14017,14097,14057,101,14000,14140,14070,97,97,RIGHT,108,108,OK,UNIT_101:RIGHT:97.0mm,추정,KTX-1과 동일 구조로 추정 / 8호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,9,T(단부),역방향,1,8,122.5,10,132.5,15759,15839,80,15891.5,15971.5,15931.5,114,15820,15960,15890,68.5,68.5,LEFT,108,108,OK,UNIT_114:LEFT:68.5mm,추정,단부객차 위치 추정 / 9호차 역방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,9,T(단부),역방향,1,8,122.5,10,132.5,15759,15839,80,15891.5,15971.5,15931.5,115,15960,16100,16030,39.5,39.5,RIGHT,108,108,OK,UNIT_115:RIGHT:39.5mm,추정,단부객차 위치 추정 / 9호차 역방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,2,T(단부),정방향,1,8,122.5,15,137.5,4270,4350,80,4407.5,4487.5,4447.5,32,4340,4480,4410,72.5,72.5,LEFT,108,108,OK,UNIT_32:LEFT:72.5mm,추정,단부객차 위치 추정 / 2호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,2,T(단부),정방향,1,8,122.5,15,137.5,4270,4350,80,4407.5,4487.5,4447.5,33,4480,4620,4550,35.5,35.5,RIGHT,108,108,OK,UNIT_33:RIGHT:35.5mm,추정,단부객차 위치 추정 / 2호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,3,T(중간),정방향,1,8,122.5,15,137.5,4534.5,4614.5,80,4672,4752,4712,34,4620,4760,4690,88,88,LEFT,108,108,OK,UNIT_34:LEFT:88.0mm,추정,KTX-1과 동일 구조로 추정 / 3호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,3,T(중간),정방향,1,8,122.5,15,137.5,4534.5,4614.5,80,4672,4752,4712,35,4760,4900,4830,20,20,RIGHT,108,108,OK,UNIT_35:RIGHT:20.0mm,추정,KTX-1과 동일 구조로 추정 / 3호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,4,T(중간),정방향,1,8,122.5,15,137.5,6404.5,6484.5,80,6542,6622,6582,47,6440,6580,6510,52,52,LEFT,108,108,OK,UNIT_47:LEFT:52.0mm,추정,KTX-1과 동일 구조로 추정 / 4호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10
KTX-산천,4,T(중간),정방향,1,8,122.5,15,137.5,6404.5,6484.5,80,6542,6622,6582,48,6580,6720,6650,56,56,RIGHT,108,108,OK,UNIT_48:RIGHT:56.0mm,추정,KTX-1과 동일 구조로 추정 / 4호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10
KTX-산천,5,T(중간),정방향,1,8,122.5,15,137.5,8274.5,8354.5,80,8412,8492,8452,60,8260,8400,8330,16,16,LEFT,108,108,OK,UNIT_60:LEFT:16.0mm,추정,KTX-1과 동일 구조로 추정 / 5호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,5,T(중간),정방향,1,8,122.5,15,137.5,8274.5,8354.5,80,8412,8492,8452,61,8400,8540,8470,92,92,RIGHT,108,108,OK,UNIT_61:RIGHT:92.0mm,추정,KTX-1과 동일 구조로 추정 / 5호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,6,T(중간),정방향,1,8,122.5,15,137.5,10144.5,10224.5,80,10282,10362,10322,74,10220,10360,10290,78,78,LEFT,108,108,OK,UNIT_74:LEFT:78.0mm,추정,KTX-1과 동일 구조로 추정 / 6호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,6,T(중간),정방향,1,8,122.5,15,137.5,10144.5,10224.5,80,10282,10362,10322,75,10360,10500,10430,30,30,RIGHT,108,108,OK,UNIT_75:RIGHT:30.0mm,추정,KTX-1과 동일 구조로 추정 / 6호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,7,T(중간),정방향,1,8,122.5,15,137.5,12014.5,12094.5,80,12152,12232,12192,87,12040,12180,12110,56,56,LEFT,108,108,OK,UNIT_87:LEFT:56.0mm,추정,KTX-1과 동일 구조로 추정 / 7호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,7,T(중간),정방향,1,8,122.5,15,137.5,12014.5,12094.5,80,12152,12232,12192,88,12180,12320,12250,52,52,RIGHT,108,108,OK,UNIT_88:RIGHT:52.0mm,추정,KTX-1과 동일 구조로 추정 / 7호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,8,T(중간),정방향,1,8,122.5,15,137.5,13884.5,13964.5,80,14022,14102,14062,100,13860,14000,13930,6,6,LEFT,108,108,OK,UNIT_100:LEFT:6.0mm,추정,KTX-1과 동일 구조로 추정 / 8호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,8,T(중간),정방향,1,8,122.5,15,137.5,13884.5,13964.5,80,14022,14102,14062,101,14000,14140,14070,102,102,RIGHT,108,108,OK,UNIT_101:RIGHT:102.0mm,추정,KTX-1과 동일 구조로 추정 / 8호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,9,T(단부),역방향,1,8,122.5,15,137.5,15759,15839,80,15896.5,15976.5,15936.5,114,15820,15960,15890,63.5,63.5,LEFT,108,108,OK,UNIT_114:LEFT:63.5mm,추정,단부객차 위치 추정 / 9호차 역방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,9,T(단부),역방향,1,8,122.5,15,137.5,15759,15839,80,15896.5,15976.5,15936.5,115,15960,16100,16030,44.5,44.5,RIGHT,108,108,OK,UNIT_115:RIGHT:44.5mm,추정,단부객차 위치 추정 / 9호차 역방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,2,T(단부),정방향,1,8,122.5,20,142.5,4270,4350,80,4412.5,4492.5,4452.5,32,4340,4480,4410,67.5,67.5,LEFT,108,108,OK,UNIT_32:LEFT:67.5mm,추정,단부객차 위치 추정 / 2호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,2,T(단부),정방향,1,8,122.5,20,142.5,4270,4350,80,4412.5,4492.5,4452.5,33,4480,4620,4550,40.5,40.5,RIGHT,108,108,OK,UNIT_33:RIGHT:40.5mm,추정,단부객차 위치 추정 / 2호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,3,T(중간),정방향,1,8,122.5,20,142.5,4534.5,4614.5,80,4677,4757,4717,34,4620,4760,4690,83,83,LEFT,108,108,OK,UNIT_34:LEFT:83.0mm,추정,KTX-1과 동일 구조로 추정 / 3호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,3,T(중간),정방향,1,8,122.5,20,142.5,4534.5,4614.5,80,4677,4757,4717,35,4760,4900,4830,25,25,RIGHT,108,108,OK,UNIT_35:RIGHT:25.0mm,추정,KTX-1과 동일 구조로 추정 / 3호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,4,T(중간),정방향,1,8,122.5,20,142.5,6404.5,6484.5,80,6547,6627,6587,47,6440,6580,6510,47,47,LEFT,108,108,OK,UNIT_47:LEFT:47.0mm,추정,KTX-1과 동일 구조로 추정 / 4호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10
KTX-산천,4,T(중간),정방향,1,8,122.5,20,142.5,6404.5,6484.5,80,6547,6627,6587,48,6580,6720,6650,61,61,RIGHT,108,108,OK,UNIT_48:RIGHT:61.0mm,추정,KTX-1과 동일 구조로 추정 / 4호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10
KTX-산천,5,T(중간),정방향,1,8,122.5,20,142.5,8274.5,8354.5,80,8417,8497,8457,60,8260,8400,8330,11,11,LEFT,108,108,OK,UNIT_60:LEFT:11.0mm,추정,KTX-1과 동일 구조로 추정 / 5호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,5,T(중간),정방향,1,8,122.5,20,142.5,8274.5,8354.5,80,8417,8497,8457,61,8400,8540,8470,97,97,RIGHT,108,108,OK,UNIT_61:RIGHT:97.0mm,추정,KTX-1과 동일 구조로 추정 / 5호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,6,T(중간),정방향,1,8,122.5,20,142.5,10144.5,10224.5,80,10287,10367,10327,74,10220,10360,10290,73,73,LEFT,108,108,OK,UNIT_74:LEFT:73.0mm,추정,KTX-1과 동일 구조로 추정 / 6호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,6,T(중간),정방향,1,8,122.5,20,142.5,10144.5,10224.5,80,10287,10367,10327,75,10360,10500,10430,35,35,RIGHT,108,108,OK,UNIT_75:RIGHT:35.0mm,추정,KTX-1과 동일 구조로 추정 / 6호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,7,T(중간),정방향,1,8,122.5,20,142.5,12014.5,12094.5,80,12157,12237,12197,87,12040,12180,12110,51,51,LEFT,108,108,OK,UNIT_87:LEFT:51.0mm,추정,KTX-1과 동일 구조로 추정 / 7호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,7,T(중간),정방향,1,8,122.5,20,142.5,12014.5,12094.5,80,12157,12237,12197,88,12180,12320,12250,57,57,RIGHT,108,108,OK,UNIT_88:RIGHT:57.0mm,추정,KTX-1과 동일 구조로 추정 / 7호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,8,T(중간),정방향,1,8,122.5,20,142.5,13884.5,13964.5,80,14027,14107,14067,100,13860,14000,13930,1,1,LEFT,108,108,OK,UNIT_100:LEFT:1.0mm,추정,KTX-1과 동일 구조로 추정 / 8호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,8,T(중간),정방향,1,8,122.5,20,142.5,13884.5,13964.5,80,14027,14107,14067,101,14000,14140,14070,107,107,RIGHT,108,108,OK,UNIT_101:RIGHT:107.0mm,추정,KTX-1과 동일 구조로 추정 / 8호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,9,T(단부),역방향,1,8,122.5,20,142.5,15759,15839,80,15901.5,15981.5,15941.5,114,15820,15960,15890,58.5,58.5,LEFT,108,108,OK,UNIT_114:LEFT:58.5mm,추정,단부객차 위치 추정 / 9호차 역방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,9,T(단부),역방향,1,8,122.5,20,142.5,15759,15839,80,15901.5,15981.5,15941.5,115,15960,16100,16030,49.5,49.5,RIGHT,108,108,OK,UNIT_115:RIGHT:49.5mm,추정,단부객차 위치 추정 / 9호차 역방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,2,T(단부),정방향,1,8,122.5,25,147.5,4270,4350,80,4417.5,4497.5,4457.5,32,4340,4480,4410,62.5,62.5,LEFT,108,108,OK,UNIT_32:LEFT:62.5mm,추정,단부객차 위치 추정 / 2호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,2,T(단부),정방향,1,8,122.5,25,147.5,4270,4350,80,4417.5,4497.5,4457.5,33,4480,4620,4550,45.5,45.5,RIGHT,108,108,OK,UNIT_33:RIGHT:45.5mm,추정,단부객차 위치 추정 / 2호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,3,T(중간),정방향,1,8,122.5,25,147.5,4534.5,4614.5,80,4682,4762,4722,34,4620,4760,4690,78,78,LEFT,108,108,OK,UNIT_34:LEFT:78.0mm,추정,KTX-1과 동일 구조로 추정 / 3호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,3,T(중간),정방향,1,8,122.5,25,147.5,4534.5,4614.5,80,4682,4762,4722,35,4760,4900,4830,30,30,RIGHT,108,108,OK,UNIT_35:RIGHT:30.0mm,추정,KTX-1과 동일 구조로 추정 / 3호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,4,T(중간),정방향,1,8,122.5,25,147.5,6404.5,6484.5,80,6552,6632,6592,47,6440,6580,6510,56,56,LEFT,108,108,OK,UNIT_47:LEFT:56.0mm,추정,KTX-1과 동일 구조로 추정 / 4호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,4,T(중간),정방향,1,8,122.5,25,147.5,6404.5,6484.5,80,6552,6632,6592,48,6580,6720,6650,52,52,RIGHT,108,108,OK,UNIT_48:RIGHT:52.0mm,추정,KTX-1과 동일 구조로 추정 / 4호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,5,T(중간),정방향,1,8,122.5,25,147.5,8274.5,8354.5,80,8422,8502,8462,60,8260,8400,8330,6,6,LEFT,108,108,OK,UNIT_60:LEFT:6.0mm,추정,KTX-1과 동일 구조로 추정 / 5호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,5,T(중간),정방향,1,8,122.5,25,147.5,8274.5,8354.5,80,8422,8502,8462,61,8400,8540,8470,102,102,RIGHT,108,108,OK,UNIT_61:RIGHT:102.0mm,추정,KTX-1과 동일 구조로 추정 / 5호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,6,T(중간),정방향,1,8,122.5,25,147.5,10144.5,10224.5,80,10292,10372,10332,74,10220,10360,10290,68,68,LEFT,108,108,OK,UNIT_74:LEFT:68.0mm,추정,KTX-1과 동일 구조로 추정 / 6호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,6,T(중간),정방향,1,8,122.5,25,147.5,10144.5,10224.5,80,10292,10372,10332,75,10360,10500,10430,40,40,RIGHT,108,108,OK,UNIT_75:RIGHT:40.0mm,추정,KTX-1과 동일 구조로 추정 / 6호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,7,T(중간),정방향,1,8,122.5,25,147.5,12014.5,12094.5,80,12162,12242,12202,87,12040,12180,12110,46,46,LEFT,108,108,OK,UNIT_87:LEFT:46.0mm,추정,KTX-1과 동일 구조로 추정 / 7호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,7,T(중간),정방향,1,8,122.5,25,147.5,12014.5,12094.5,80,12162,12242,12202,88,12180,12320,12250,62,62,RIGHT,108,108,OK,UNIT_88:RIGHT:62.0mm,추정,KTX-1과 동일 구조로 추정 / 7호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,8,T(중간),정방향,1,8,122.5,25,147.5,13884.5,13964.5,80,14032,14112,14072,101,14000,14140,14070,108,108,LEFT,108,108,OK,UNIT_101:LEFT:108.0mm,추정,KTX-1과 동일 구조로 추정 / 8호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,9,T(단부),역방향,1,8,122.5,25,147.5,15759,15839,80,15906.5,15986.5,15946.5,114,15820,15960,15890,53.5,53.5,LEFT,108,108,OK,UNIT_114:LEFT:53.5mm,추정,단부객차 위치 추정 / 9호차 역방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,9,T(단부),역방향,1,8,122.5,25,147.5,15759,15839,80,15906.5,15986.5,15946.5,115,15960,16100,16030,54.5,54.5,RIGHT,108,108,OK,UNIT_115:RIGHT:54.5mm,추정,단부객차 위치 추정 / 9호차 역방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,2,T(단부),정방향,1,8,122.5,30,152.5,4270,4350,80,4422.5,4502.5,4462.5,32,4340,4480,4410,57.5,57.5,LEFT,108,108,OK,UNIT_32:LEFT:57.5mm,추정,단부객차 위치 추정 / 2호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,2,T(단부),정방향,1,8,122.5,30,152.5,4270,4350,80,4422.5,4502.5,4462.5,33,4480,4620,4550,50.5,50.5,RIGHT,108,108,OK,UNIT_33:RIGHT:50.5mm,추정,단부객차 위치 추정 / 2호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,3,T(중간),정방향,1,8,122.5,30,152.5,4534.5,4614.5,80,4687,4767,4727,34,4620,4760,4690,73,73,LEFT,108,108,OK,UNIT_34:LEFT:73.0mm,추정,KTX-1과 동일 구조로 추정 / 3호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,3,T(중간),정방향,1,8,122.5,30,152.5,4534.5,4614.5,80,4687,4767,4727,35,4760,4900,4830,35,35,RIGHT,108,108,OK,UNIT_35:RIGHT:35.0mm,추정,KTX-1과 동일 구조로 추정 / 3호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
KTX-산천,4,T(중간),정방향,1,8,122.5,30,152.5,6404.5,6484.5,80,6557,6637,6597,47,6440,6580,6510,51,51,LEFT,108,108,OK,UNIT_47:LEFT:51.0mm,추정,KTX-1과 동일 구조로 추정 / 4호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,4,T(중간),정방향,1,8,122.5,30,152.5,6404.5,6484.5,80,6557,6637,6597,48,6580,6720,6650,57,57,RIGHT,108,108,OK,UNIT_48:RIGHT:57.0mm,추정,KTX-1과 동일 구조로 추정 / 4호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,5,T(중간),정방향,1,8,122.5,30,152.5,8274.5,8354.5,80,8427,8507,8467,60,8260,8400,8330,1,1,LEFT,108,108,OK,UNIT_60:LEFT:1.0mm,추정,KTX-1과 동일 구조로 추정 / 5호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,5,T(중간),정방향,1,8,122.5,30,152.5,8274.5,8354.5,80,8427,8507,8467,61,8400,8540,8470,107,107,RIGHT,108,108,OK,UNIT_61:RIGHT:107.0mm,추정,KTX-1과 동일 구조로 추정 / 5호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10
KTX-산천,6,T(중간),정방향,1,8,122.5,30,152.5,10144.5,10224.5,80,10297,10377,10337,74,10220,10360,10290,63,63,LEFT,108,108,OK,UNIT_74:LEFT:63.0mm,추정,KTX-1과 동일 구조로 추정 / 6호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10
